group,dataset,study,year,model_method,protocol,metric,value,provenance,note,ref
OUR-shortanswer,Mohler,Aminah et al.,2025,LLaMA3-70B,zero-shot LLM,QWK,0.948,PDF,on a SUBSET only; empty/#NAME? answers dropped (inflates QWK; motivates pi extractable-rate),aminah_evaluating_2025
OUR-shortanswer,Mohler,Aminah et al.,2025,DeepSeek,zero-shot LLM,QWK / MAE,0.902 / 0.30,PDF,open-source LLM; most balanced score distribution,aminah_evaluating_2025
OUR-shortanswer,Mohler,Aminah et al.,2025,GPT-3.5 Turbo,zero-shot LLM,QWK / MAE,0.662 / 1.047,PDF,scored 0 on #NAME? answers (harsh on parse errors),aminah_evaluating_2025
OUR-shortanswer,Mohler,Fischer et al. (NodeGrade),2025,sem-sim + LLM hybrid,public-set eval,Pearson r / QWK,0.73 / 0.55,SLR,moderate; struggles on boundary cases,fischer_evaluation_2025
OUR-shortanswer,Mohler,Duong & Meng,2024,GPT-4 (few-shot),few-shot; SE+Mohler,Pearson r,0.844,SLR,context/few-shot improves quality,duong_automatic_2024
OUR-shortanswer,Mohler,Mello et al.,2025,GPT-4o vs BERT,seen vs unseen split,MAE,BERT 0.34 (seen) / GPT-4o competitive (unseen),SLR,"LLM value is generalisation to unseen, not beating tuned on seen",ferreira_mello_automatic_2025
OUR-shortanswer,SciEntsBank (SemEval-2013 T7),Kazi & Kahanda,2023,RoBERTa + MNLI (entailment),fine-tuned,weighted-F1,~0.72,SLR,gains on 'contradiction' class,kazi_enhancing_2023
OUR-shortanswer,SemEval-2013 T7,Fischer et al. (NodeGrade),2025,sem-sim + LLM hybrid,public-set eval,(qualitative),outperforms GPT-4 on SemEval-2013 T7,SLR,no single metric reported in abstract,fischer_evaluation_2025
OUR-shortanswer,SciEntsBank (unseen ans.),Chen et al. (CEM-FT),2026,CEM-FT (Qwen3-4B + LoRA),fine-tune; unseen-answers,QWK,0.767,PDF,vs BERT 0.20 / Qwen3-8B FT 0.729; Qwen family = our roster,chen_cemft_2026
OUR-shortanswer,Mohler (unseen ans.),Chen et al. (CEM-FT),2026,CEM-FT (Qwen3-1.7B + LoRA),fine-tune; unseen-answers,MAE / TAA,0.402 / 0.715,PDF,Mohler is continuous (no QWK reported),chen_cemft_2026
